Experiment: Combination_Experiment_36
Generation: 64
Timestamp: 20231225_171928

Genotypes and their Fitness Values:
[0.0085, 0.4496547786046588, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.011776363700921279
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353] - Fitness: -0.010872283771152876
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.0019907007438025336
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353] - Fitness: -0.006128135220360066
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.00769060142233699
[0.008584098967790025, 0.45423017386964915, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.0429362769772856
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.01265404134914987
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.006559162801859456
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.007921779470893625
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 2.3203085634123085e-05
[0.0085, 0.446590142756781, 0.1297881917754884, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.005271978964503384
[0.0085, 0.45423017386964915, 0.1291963593947417, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14533201803601778, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.014720055913315485
[0.0085, 0.44198798528326033, 0.1291963593947417, -0.7457404902495535, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: -0.029828316040078687
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.003011997712154552, 8.282319585648384, 10.15670644449113] - Fitness: -0.018438827875737484
[0.0085, 0.4497614370853874, 0.1291963593947417, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.03783638608325263
[0.0085, 0.4497614370853874, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.013784009690905978
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: -0.00173142672237556
[0.0085, 0.446590142756781, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.18937862066233, 10.15670644449113] - Fitness: -0.010903369907063207
[0.0085, 0.4497614370853874, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353] - Fitness: -0.027779061015601552
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.014693488291885057
[0.0085, 0.446590142756781, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.016269012935121188
[0.0085, 0.4497614370853874, 0.1291963593947417, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.020029639710340337
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14533201803601778, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.008407986006848006
[0.0085, 0.4432772286971486, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.0018340666323872622
[0.0085, 0.446590142756781, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353] - Fitness: -0.028135385613074125
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113] - Fitness: -0.007921779470893625
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.006559162801859456
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353] - Fitness: -0.006128135220360066
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353] - Fitness: -0.006128135220360066
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.18937862066233, 10.15670644449113] - Fitness: -0.0025375970236912494
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.18937862066233, 10.15670644449113] - Fitness: -0.0025375970236912494
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: -0.00173142672237556
[0.0085, 0.446590142756781, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.0007659389862630098
[0.0085, 0.446590142756781, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: -0.0007659389862630098
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 2.3203085634123085e-05
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 2.3203085634123085e-05
[0.0085, 0.446590142756781, 0.1298046065695877, -0.7324963472152402, 0.25929628016713757, -0.022213084695223553, 0.1447550360865966, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.0003088500138324627
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.0019907007438025336
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.0019907007438025336
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.0019907007438025336
[0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.0019907007438025336
[0.0085, 0.4437523650541689, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.0027382905943941073
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.15276496352928143, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.005611565327663707
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.005871614068583487
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.005871614068583487
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.005871614068583487
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.005871614068583487
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.00769060142233699
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353] - Fitness: 0.00769060142233699
[0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14533201803601778, -0.003, 0.0030359345815242113, 8.044562762515774, 10.15670644449113] - Fitness: 0.008407986006848006

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4496547786046588, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353]:
  Angle -10: cl=-0.555404543876648, cd=0.22546376287937164, cm=-0.1861913651227951
  Angle -9: cl=-0.58756422996521, cd=0.19421608746051788, cm=-0.18183289468288422
  Angle -8: cl=-0.609825074672699, cd=0.158793106675148, cm=-0.17976944148540497
  Angle -7: cl=-0.6419201493263245, cd=0.12659300863742828, cm=-0.1710374802350998
  Angle -6: cl=-0.615348756313324, cd=0.11346957832574844, cm=-0.15759657323360443
  Angle -5: cl=-0.506799578666687, cd=0.10251770168542862, cm=-0.1452958732843399
  Angle -4: cl=-0.40993016958236694, cd=0.0966917872428894, cm=-0.1317017525434494
  Angle -3: cl=-0.306570440530777, cd=0.089948870241642, cm=-0.1165943294763565
  Angle -2: cl=-0.24047836661338806, cd=0.08391902595758438, cm=-0.08988116681575775
  Angle -1: cl=-0.18079893290996552, cd=0.08002199232578278, cm=-0.06025789678096771
  Angle 0: cl=-0.11649683117866516, cd=0.08016066253185272, cm=-0.03239844739437103
  Angle 1: cl=-0.04776281118392944, cd=0.08112280815839767, cm=-0.009171321988105774
  Angle 2: cl=0.035275544971227646, cd=0.0866321325302124, cm=0.002061709761619568
  Angle 3: cl=0.2697516977787018, cd=0.07483255863189697, cm=0.003979593515396118
  Angle 4: cl=0.3580961227416992, cd=0.08041492849588394, cm=0.009600922465324402
  Angle 5: cl=0.45276400446891785, cd=0.08688698709011078, cm=0.01327534019947052
  Angle 6: cl=0.5488582849502563, cd=0.09374573081731796, cm=0.01541087031364441
  Angle 7: cl=0.6420371532440186, cd=0.09971741586923599, cm=0.01575048267841339
  Angle 8: cl=0.7337604761123657, cd=0.10288409888744354, cm=0.008447960019111633
  Angle 9: cl=0.8264964818954468, cd=0.10678374022245407, cm=0.00014981627464294434
  Angle 10: cl=0.9250536561012268, cd=0.1114838644862175, cm=-0.008561208844184875
Genotype [0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353]:
  Angle -10: cl=-0.5511871576309204, cd=0.22451145946979523, cm=-0.18530230224132538
  Angle -9: cl=-0.5848078727722168, cd=0.19386933743953705, cm=-0.1804484874010086
  Angle -8: cl=-0.608275294303894, cd=0.15869081020355225, cm=-0.17799748480319977
  Angle -7: cl=-0.6355951428413391, cd=0.12728707492351532, cm=-0.16905845701694489
  Angle -6: cl=-0.6142675280570984, cd=0.11379766464233398, cm=-0.15635402500629425
  Angle -5: cl=-0.4996144771575928, cd=0.1019146665930748, cm=-0.1442304402589798
  Angle -4: cl=-0.4022931158542633, cd=0.09578308463096619, cm=-0.13021384179592133
  Angle -3: cl=-0.3007030189037323, cd=0.08902380615472794, cm=-0.11455892026424408
  Angle -2: cl=-0.23445183038711548, cd=0.0829068049788475, cm=-0.08804921805858612
  Angle -1: cl=-0.17513635754585266, cd=0.07950831949710846, cm=-0.05822046101093292
  Angle 0: cl=-0.11171132326126099, cd=0.07972124218940735, cm=-0.030325070023536682
  Angle 1: cl=-0.045664750039577484, cd=0.08201450109481812, cm=-0.007857844233512878
  Angle 2: cl=0.03540896996855736, cd=0.08768123388290405, cm=0.003657326102256775
  Angle 3: cl=0.2660132050514221, cd=0.07661841064691544, cm=0.005809783935546875
  Angle 4: cl=0.35248321294784546, cd=0.08227773755788803, cm=0.011438101530075073
  Angle 5: cl=0.445150226354599, cd=0.08849586546421051, cm=0.015409603714942932
  Angle 6: cl=0.5405729413032532, cd=0.09514983743429184, cm=0.017691493034362793
  Angle 7: cl=0.6355759501457214, cd=0.09999465942382812, cm=0.015016883611679077
  Angle 8: cl=0.7275255918502808, cd=0.10321645438671112, cm=0.0077467262744903564
  Angle 9: cl=0.8190817832946777, cd=0.10696370899677277, cm=-0.0005995333194732666
  Angle 10: cl=0.9170945882797241, cd=0.11174015700817108, cm=-0.009658262133598328
Genotype [0.0085, 0.44198798528326033, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353]:
  Angle -10: cl=-0.552470862865448, cd=0.22551169991493225, cm=-0.1853526383638382
  Angle -9: cl=-0.5859630703926086, cd=0.19487756490707397, cm=-0.1804756075143814
  Angle -8: cl=-0.6094774007797241, cd=0.15976852178573608, cm=-0.178059920668602
  Angle -7: cl=-0.6368412971496582, cd=0.12784546613693237, cm=-0.16933222115039825
  Angle -6: cl=-0.6151167750358582, cd=0.11420385539531708, cm=-0.1567937284708023
  Angle -5: cl=-0.5003423094749451, cd=0.1022571250796318, cm=-0.14464662969112396
  Angle -4: cl=-0.401815801858902, cd=0.09591234475374222, cm=-0.13093216717243195
  Angle -3: cl=-0.298564612865448, cd=0.08919533342123032, cm=-0.1159060150384903
  Angle -2: cl=-0.23216599225997925, cd=0.08306695520877838, cm=-0.08943073451519012
  Angle -1: cl=-0.1728784739971161, cd=0.07958962768316269, cm=-0.05969156324863434
  Angle 0: cl=-0.10976080596446991, cd=0.07973497360944748, cm=-0.03149445354938507
  Angle 1: cl=-0.04347018897533417, cd=0.08138003200292587, cm=-0.008280977606773376
  Angle 2: cl=0.03800598904490471, cd=0.08700833469629288, cm=0.00309637188911438
  Angle 3: cl=0.26912057399749756, cd=0.07584541290998459, cm=0.00534212589263916
  Angle 4: cl=0.3556889593601227, cd=0.08148689568042755, cm=0.010971039533615112
  Angle 5: cl=0.4484935700893402, cd=0.0877000093460083, cm=0.014916196465492249
  Angle 6: cl=0.5433489680290222, cd=0.09466876089572906, cm=0.01728615164756775
  Angle 7: cl=0.6379173994064331, cd=0.09983953088521957, cm=0.015407919883728027
  Angle 8: cl=0.7298826575279236, cd=0.10302997380495071, cm=0.008164241909980774
  Angle 9: cl=0.8213557004928589, cd=0.10675948113203049, cm=-0.00016267597675323486
  Angle 10: cl=0.9195945858955383, cd=0.11147395521402359, cm=-0.00900144875049591
Genotype [0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.140362483712353]:
  Angle -10: cl=-0.5517562627792358, cd=0.22449010610580444, cm=-0.1859063357114792
  Angle -9: cl=-0.5843269228935242, cd=0.19341354072093964, cm=-0.18133412301540375
  Angle -8: cl=-0.6065889596939087, cd=0.15799064934253693, cm=-0.17927025258541107
  Angle -7: cl=-0.6369693875312805, cd=0.126346156001091, cm=-0.1700812429189682
  Angle -6: cl=-0.6132433414459229, cd=0.11324954777956009, cm=-0.15693546831607819
  Angle -5: cl=-0.5041775703430176, cd=0.10233839601278305, cm=-0.14451022446155548
  Angle -4: cl=-0.4066961705684662, cd=0.09638078510761261, cm=-0.13076646625995636
  Angle -3: cl=-0.30482491850852966, cd=0.08960507810115814, cm=-0.115118607878685
  Angle -2: cl=-0.23937538266181946, cd=0.08356360346078873, cm=-0.08839891850948334
  Angle -1: cl=-0.1797194629907608, cd=0.07988930493593216, cm=-0.05859668552875519
  Angle 0: cl=-0.1150183379650116, cd=0.08009036630392075, cm=-0.031013205647468567
  Angle 1: cl=-0.04782113432884216, cd=0.0818745344877243, cm=-0.008352681994438171
  Angle 2: cl=0.03496832400560379, cd=0.08743765950202942, cm=0.002971753478050232
  Angle 3: cl=0.2681812644004822, cd=0.07595659792423248, cm=0.004888981580734253
  Angle 4: cl=0.3561151623725891, cd=0.08156871795654297, cm=0.010490253567695618
  Angle 5: cl=0.449961394071579, cd=0.08777721226215363, cm=0.014269649982452393
  Angle 6: cl=0.5463686585426331, cd=0.09460872411727905, cm=0.01637783646583557
  Angle 7: cl=0.6405109167098999, cd=0.09996070712804794, cm=0.01507037878036499
  Angle 8: cl=0.7324331402778625, cd=0.10315950214862823, cm=0.007739245891571045
  Angle 9: cl=0.8250354528427124, cd=0.10704047232866287, cm=-0.0005659759044647217
  Angle 10: cl=0.9229801893234253, cd=0.11180185526609421, cm=-0.00961659848690033
Genotype [0.0085, 0.446590142756781, 0.1298046065695877, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.044562762515774, 10.140362483712353]:
  Angle -10: cl=-0.5529076457023621, cd=0.22550220787525177, cm=-0.18591170012950897
  Angle -9: cl=-0.5856837034225464, cd=0.1945011466741562, cm=-0.18130747973918915
  Angle -8: cl=-0.6079360842704773, cd=0.15907752513885498, cm=-0.17924828827381134
  Angle -7: cl=-0.6381763219833374, cd=0.1270650029182434, cm=-0.17048482596874237
  Angle -6: cl=-0.6140162348747253, cd=0.11365259438753128, cm=-0.15737922489643097
  Angle -5: cl=-0.5032098889350891, cd=0.1023852676153183, cm=-0.14511974155902863
  Angle -4: cl=-0.4062103033065796, cd=0.09650620073080063, cm=-0.13149328529834747
  Angle -3: cl=-0.30269187688827515, cd=0.08977746963500977, cm=-0.11646662652492523
  Angle -2: cl=-0.23709964752197266, cd=0.08372506499290466, cm=-0.0897810310125351
  Angle -1: cl=-0.17747090756893158, cd=0.07997134327888489, cm=-0.06006859242916107
  Angle 0: cl=-0.1130751520395279, cd=0.08010481297969818, cm=-0.032183870673179626
  Angle 1: cl=-0.045171499252319336, cd=0.08121442794799805, cm=-0.008825406432151794
  Angle 2: cl=0.03756427764892578, cd=0.08676428347826004, cm=0.0024093538522720337
  Angle 3: cl=0.27128976583480835, cd=0.07518219947814941, cm=0.004419669508934021
  Angle 4: cl=0.35916128754615784, cd=0.0807763934135437, cm=0.010038182139396667
  Angle 5: cl=0.4533533751964569, cd=0.08720794320106506, cm=0.013761118054389954
  Angle 6: cl=0.5491558909416199, cd=0.09412653744220734, cm=0.015969902276992798
  Angle 7: cl=0.6428707838058472, cd=0.0997949093580246, cm=0.015450850129127502
  Angle 8: cl=0.7347990274429321, cd=0.10297288745641708, cm=0.008156776428222656
  Angle 9: cl=0.827312171459198, cd=0.10683298856019974, cm=-0.00013481080532073975
  Angle 10: cl=0.9256672263145447, cd=0.11154676973819733, cm=-0.008959189057350159
Genotype [0.008584098967790025, 0.45423017386964915, 0.1291963593947417, -0.8634826847749087, 0.25929628016713757, -0.022213084695223553, 0.14941708158421946, -0.003, 0.0030359345815242113, 8.282319585648384, 10.15670644449113]:
  Angle -10: cl=-0.5545406341552734, cd=0.22370897233486176, cm=-0.18664519488811493
  Angle -9: cl=-0.5847552418708801, cd=0.1916869878768921, cm=-0.18277119100093842
  Angle -8: cl=-0.6071226000785828, cd=0.15632863342761993, cm=-0.18062566220760345
  Angle -7: cl=-0.6418222188949585, cd=0.12457811087369919, cm=-0.17106036841869354
  Angle -6: cl=-0.6138640642166138, cd=0.11232368648052216, cm=-0.15740583837032318
  Angle -5: cl=-0.5135582685470581, cd=0.10278067737817764, cm=-0.14432422816753387
  Angle -4: cl=-0.41577234864234924, cd=0.09698810428380966, cm=-0.13077963888645172
  Angle -3: cl=-0.3151782751083374, cd=0.09015513211488724, cm=-0.11458204686641693
  Angle -2: cl=-0.2495693862438202, cd=0.08421460539102554, cm=-0.087602898478508
  Angle -1: cl=-0.18968753516674042, cd=0.08016055822372437, cm=-0.0579843670129776
  Angle 0: cl=-0.12385140359401703, cd=0.08039568364620209, cm=-0.030896857380867004
  Angle 1: cl=-0.05485258251428604, cd=0.08218501508235931, cm=-0.008879557251930237
  Angle 2: cl=0.02897612191736698, cd=0.08758047223091125, cm=0.0024337321519851685
  Angle 3: cl=0.26468798518180847, cd=0.07564199715852737, cm=0.004025876522064209
  Angle 4: cl=0.35413622856140137, cd=0.08125120401382446, cm=0.00958724319934845
  Angle 5: cl=0.44989052414894104, cd=0.0874377191066742, cm=0.013165682554244995
  Angle 6: cl=0.5475245118141174, cd=0.09406603127717972, cm=0.015032187104225159
  Angle 7: cl=0.6405004858970642, cd=0.09990343451499939, cm=0.01513788104057312
  Angle 8: cl=0.7323611974716187, cd=0.10311223566532135, cm=0.007781386375427246
  Angle 9: cl=0.8257626891136169, cd=0.10713493078947067, cm=-0.0005673617124557495
