Experiment: Combination_Experiment_145
Generation: 15
Timestamp: 20231227_181123

Genotypes and their Fitness Values:
[0.008738276439590634, 0.46, 0.13, -0.7567818147224239, 0.25478641826335585, -0.02270259015836636, 0.11384863495618709, -0.003, 0.0025, 7.395592576505536, 10.10764321898084] - Fitness: 0.018044788893535085
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8221624707521427, 0.26, -0.02270259015836636, 0.12131397503231771, -0.003, 0.002958520450015427, 8.567271352954506, 10.140000300204047] - Fitness: 0.013903945793260514
[0.008738276439590634, 0.4481849229871767, 0.12809369261767323, -0.8705678271461061, 0.26, -0.02270259015836636, 0.12131397503231771, -0.003, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: 0.0058863989703433865
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.26, -0.02270259015836636, 0.15066166290110033, -0.003, 0.002958520450015427, 8.567271352954506, 10.097925411079236] - Fitness: 0.0035261986715682016
[0.008738276439590634, 0.4481849229871767, 0.13, -0.8257339004443838, 0.26, -0.023, 0.1393933827614826, -0.0037904160677536118, 0.0025, 7.427489871575919, 10.059333718579303] - Fitness: -3.782154208098685e-05
[0.008738276439590634, 0.4504196973099081, 0.13, -0.7567818147224239, 0.26, -0.02270259015836636, 0.15066166290110033, -0.003, 0.003231668179478074, 8.531321462232201, 10.046960810708496] - Fitness: -0.0223041147383718
[0.008738276439590634, 0.44246944858648657, 0.12809369261767323, -0.7657522602210761, 0.26, -0.021869472269416757, 0.12131397503231771, -0.0030834944661311415, 0.0025, 7.296096333239419, 10.14580432226329] - Fitness: -0.02720925931875884
[0.008738276439590634, 0.4504196973099081, 0.13, -0.7121741726309612, 0.2587438190413732, -0.02270259015836636, 0.12131397503231771, -0.003, 0.003231668179478074, 8.531321462232201, 10.059328620954812] - Fitness: -0.03898382599217868
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.26, -0.021058616970830606, 0.12173190799696251, -0.003, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.06315039621083335
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8239383880654225, 0.26, -0.02270259015836636, 0.12131397503231771, -0.0037904160677536118, 0.0025, 8.567271352954506, 10.059333718579303] - Fitness: -0.06999321895573805
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8239383880654225, 0.26, -0.02270259015836636, 0.12131397503231771, -0.0037904160677536118, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.07526918617480174
[0.008738276439590634, 0.4481849229871767, 0.13, -0.8705678271461061, 0.25478641826335585, -0.02177172010761971, 0.1393933827614826, -0.003, 0.0025, 7.427489871575919, 10.10764321898084] - Fitness: -0.08666139544050293
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8239383880654225, 0.26, -0.02270259015836636, 0.12131397503231771, -0.0037436812770636103, 0.002958520450015427, 8.567271352954506, 10.059333718579303] - Fitness: -0.10989317237600293
[0.008738276439590634, 0.46, 0.13, -0.737947376615466, 0.26, -0.02270259015836636, 0.12131397503231771, -0.0037436812770636103, 0.002958520450015427, 8.567271352954506, 10.108585431106562] - Fitness: -0.11603080880666831
[0.008738276439590634, 0.45753651132717876, 0.13, -0.7121741726309612, 0.2587438190413732, -0.02270259015836636, 0.15066166290110033, -0.0037904160677536118, 0.0025, 8.567271352954506, 10.072879336479742] - Fitness: -0.11891018952326109
[0.008738276439590634, 0.46, 0.13, -0.7960024029484314, 0.2587438190413732, -0.021869472269416757, 0.12131397503231771, -0.0037436812770636103, 0.002739798830018096, 7.296096333239419, 10.097925411079236] - Fitness: -0.12610911950937712
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.2587438190413732, -0.02270259015836636, 0.12131397503231771, -0.0037436812770636103, 0.002958520450015427, 8.567271352954506, 10.059333718579303] - Fitness: -0.14114479016347556
[0.008738276439590634, 0.44246944858648657, 0.12809369261767323, -0.8705678271461061, 0.25478641826335585, -0.02177172010761971, 0.12131397503231771, -0.003, 0.0025, 7.296096333239419, 10.10764321898084] - Fitness: -0.1422883351771766
[0.008738276439590634, 0.4504196973099081, 0.12448723291747438, -0.8239383880654225, 0.26, -0.02270259015836636, 0.12131397503231771, -0.003, 0.003231668179478074, 7.427489871575919, 10.10764321898084] - Fitness: -0.1456686518253256
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.2587438190413732, -0.02270259015836636, 0.12131397503231771, -0.0037436812770636103, 0.002958520450015427, 8.567271352954506, 10.10764321898084] - Fitness: -0.14647554049675524
[0.0085, 0.44246944858648657, 0.12809369261767323, -0.8705678271461061, 0.26, -0.021058616970830606, 0.12173190799696251, -0.003, 0.0036287789596851777, 7.427489871575919, 10.10764321898084] - Fitness: -0.1477166140999326
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8221624707521427, 0.252940192516203, -0.02270259015836636, 0.12131397503231771, -0.003, 0.003231668179478074, 7.795644201873844, 10.140000300204047] - Fitness: -0.14903272645865162
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.7121741726309612, 0.26, -0.021058616970830606, 0.12173190799696251, -0.003, 0.002958520450015427, 9.175422538826933, 10.10764321898084] - Fitness: -0.1520850208695023
[0.008738276439590634, 0.44246944858648657, 0.129932555168214, -0.8221624707521427, 0.26, -0.021058616970830606, 0.12131397503231771, -0.0037436812770636103, 0.002739798830018096, 7.296096333239419, 10.077727529251888] - Fitness: -0.1555219345148907
[0.008738276439590634, 0.4481849229871767, 0.12809369261767323, -0.8705678271461061, 0.25478641826335585, -0.023, 0.1362897743269475, -0.003, 0.002958520450015427, 8.567271352954506, 10.10764321898084] - Fitness: -0.15773333929683975
[0.008738276439590634, 0.4504196973099081, 0.12809369261767323, -0.7657522602210761, 0.26, -0.02270259015836636, 0.08663074991125885, -0.0037436812770636103, 0.002958520450015427, 8.567271352954506, 10.059328620954812] - Fitness: -0.16492302044418347
[0.009572039985531421, 0.46, 0.13, -0.7121741726309612, 0.26, -0.023, 0.12131397503231771, -0.003, 0.0034603109357624136, 7.427489871575919, 10.550968230507042] - Fitness: -0.16501151077842643
[0.008738276439590634, 0.4504196973099081, 0.13, -0.7121741726309612, 0.252940192516203, -0.023, 0.15066166290110033, -0.003, 0.003231668179478074, 8.531321462232201, 10.059328620954812] - Fitness: -0.1732177418873641
[0.008738276439590634, 0.4504196973099081, 0.12308052105681776, -0.8239383880654225, 0.26, -0.02270259015836636, 0.12131397503231771, -0.003, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.17906343441850767
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8221624707521427, 0.26, -0.021058616970830606, 0.12131397503231771, -0.0037436812770636103, 0.002739798830018096, 7.795644201873844, 10.140000300204047] - Fitness: -0.18279001131133843
[0.008738276439590634, 0.44246944858648657, 0.12809369261767323, -0.8705678271461061, 0.26, -0.021058616970830606, 0.11384863495618709, -0.003, 0.0036287789596851777, 7.427489871575919, 10.10764321898084] - Fitness: -0.19109766037625509
[0.008738276439590634, 0.4481849229871767, 0.12809369261767323, -0.7121741726309612, 0.26, -0.02270259015836636, 0.12131397503231771, -0.0037436812770636103, 0.002958520450015427, 8.567271352954506, 10.10764321898084] - Fitness: -0.1935415547814218
[0.008738276439590634, 0.4481849229871767, 0.13, -0.8686995214005934, 0.25478641826335585, -0.021058616970830606, 0.11384863495618709, -0.003, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.19666920394332374
[0.008738276439590634, 0.46, 0.12809369261767323, -0.7960024029484314, 0.2587438190413732, -0.021869472269416757, 0.12131397503231771, -0.0037436812770636103, 0.002739798830018096, 7.296096333239419, 10.097925411079236] - Fitness: -0.20046026024903085
[0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8221624707521427, 0.26, -0.021058616970830606, 0.12131397503231771, -0.0037436812770636103, 0.002958520450015427, 7.795644201873844, 10.140000300204047] - Fitness: -0.20465641868456627
[0.008738276439590634, 0.44246944858648657, 0.13, -0.7121741726309612, 0.252940192516203, -0.02270259015836636, 0.12131397503231771, -0.0037436812770636103, 0.002739798830018096, 7.296096333239419, 10.10764321898084] - Fitness: -0.20601264635176023
[0.008738276439590634, 0.46, 0.13, -0.7567818147224239, 0.26, -0.02270259015836636, 0.11384863495618709, -0.003582489038261647, 0.0036287789596851777, 9.782607135380845, 10.10764321898084] - Fitness: -0.20868266561363824
[0.008738276439590634, 0.46, 0.13, -0.737947376615466, 0.26, -0.02270259015836636, 0.11384863495618709, -0.003582489038261647, 0.0036287789596851777, 9.782607135380845, 10.10764321898084] - Fitness: -0.20985302857533428
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.252940192516203, -0.02270259015836636, 0.12131397503231771, -0.0037904160677536118, 0.002739798830018096, 7.296096333239419, 10.097925411079236] - Fitness: -0.21029328831278288
[0.010027367088842554, 0.4481849229871767, 0.13, -0.847645371880044, 0.26, -0.02270259015836636, 0.1393933827614826, -0.003, 0.0025, 8.567271352954506, 10.438898726451296] - Fitness: -0.21192968637470486
[0.0085, 0.4481849229871767, 0.129932555168214, -0.7121741726309612, 0.2587438190413732, -0.021058616970830606, 0.12131397503231771, -0.0037436812770636103, 0.0025, 8.567271352954506, 10.438898726451296] - Fitness: -0.21900949901574815
[0.008738276439590634, 0.4481849229871767, 0.12809369261767323, -0.8705678271461061, 0.25478641826335585, -0.02177172010761971, 0.1393933827614826, -0.003, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.22137924565969538
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.2587438190413732, -0.021058616970830606, 0.0743518499256139, -0.0037436812770636103, 0.002739798830018096, 8.567271352954506, 10.095253542235588] - Fitness: -0.22509031997430265
[0.008738276439590634, 0.4504196973099081, 0.12308052105681776, -0.8239383880654225, 0.26, -0.02270259015836636, 0.11384863495618709, -0.003582489038261647, 0.0025, 7.427489871575919, 10.10764321898084] - Fitness: -0.2258274796710219
[0.008738276439590634, 0.4504196973099081, 0.13, -0.7657522602210761, 0.2516403844421013, -0.02270259015836636, 0.15066166290110033, -0.003, 0.003231668179478074, 8.531321462232201, 10.059328620954812] - Fitness: -0.23037322626629875
[0.008738276439590634, 0.46, 0.13, -0.8705678271461061, 0.25478641826335585, -0.02177172010761971, 0.11384863495618709, -0.0037904160677536118, 0.002739798830018096, 7.296096333239419, 10.097925411079236] - Fitness: -0.2319158476133106
[0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.2587438190413732, -0.021058616970830606, 0.12131397503231771, -0.0037904160677536118, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.23532754691638433
[0.008738276439590634, 0.4481849229871767, 0.13, -0.8257339004443838, 0.26, -0.023, 0.1393933827614826, -0.003, 0.004998818721682709, 9.7631118857217, 10.059333718579303] - Fitness: -0.23743910888803735
[0.008738276439590634, 0.4481849229871767, 0.13, -0.8257339004443838, 0.26, -0.023, 0.1393933827614826, -0.003, 0.004998818721682709, 9.7631118857217, 10.10764321898084] - Fitness: -0.24255917650764036
[0.008738276439590634, 0.4121795669645728, 0.129932555168214, -0.7121741726309612, 0.252940192516203, -0.023, 0.12131397503231771, -0.003582489038261647, 0.0025, 8.567271352954506, 10.10764321898084] - Fitness: -0.2434644165949948

Detailed Results for Each Genotype:
Genotype [0.008738276439590634, 0.46, 0.13, -0.7567818147224239, 0.25478641826335585, -0.02270259015836636, 0.11384863495618709, -0.003, 0.0025, 7.395592576505536, 10.10764321898084]:
  Angle -10: cl=-0.5624555945396423, cd=0.22664695978164673, cm=-0.18777306377887726
  Angle -9: cl=-0.5908693075180054, cd=0.19367438554763794, cm=-0.18445135653018951
  Angle -8: cl=-0.6136037707328796, cd=0.15838979184627533, cm=-0.1822466403245926
  Angle -7: cl=-0.6527471542358398, cd=0.12524400651454926, cm=-0.17431093752384186
  Angle -6: cl=-0.6158574223518372, cd=0.11272219568490982, cm=-0.15930168330669403
  Angle -5: cl=-0.5197877883911133, cd=0.10374181717634201, cm=-0.14592547714710236
  Angle -4: cl=-0.4225943088531494, cd=0.09833502769470215, cm=-0.13295330107212067
  Angle -3: cl=-0.31922805309295654, cd=0.09191388636827469, cm=-0.11850522458553314
  Angle -2: cl=-0.25029224157333374, cd=0.0861411988735199, cm=-0.09229762852191925
  Angle -1: cl=-0.1911129206418991, cd=0.08128189295530319, cm=-0.06342805922031403
  Angle 0: cl=-0.12339074909687042, cd=0.08113419264554977, cm=-0.035856083035469055
  Angle 1: cl=-0.04598052054643631, cd=0.08147825300693512, cm=-0.01341216266155243
  Angle 2: cl=0.037683915346860886, cd=0.08473557978868484, cm=-0.00025707483291625977
  Angle 3: cl=0.281657338142395, cd=0.07164853811264038, cm=0.0012044310569763184
  Angle 4: cl=0.3752906322479248, cd=0.07720125466585159, cm=0.0062667131423950195
  Angle 5: cl=0.473916620016098, cd=0.08467105776071548, cm=0.009764835238456726
  Angle 6: cl=0.5711004734039307, cd=0.09122489392757416, cm=0.01141078770160675
  Angle 7: cl=0.6622359752655029, cd=0.09780419617891312, cm=0.01360909640789032
  Angle 8: cl=0.7532444596290588, cd=0.10224208980798721, cm=0.009457126259803772
  Angle 9: cl=0.847807765007019, cd=0.10635768622159958, cm=0.0011294186115264893
  Angle 10: cl=0.9459103345870972, cd=0.11152573674917221, cm=-0.006967023015022278
Genotype [0.008738276439590634, 0.4481849229871767, 0.129932555168214, -0.8221624707521427, 0.26, -0.02270259015836636, 0.12131397503231771, -0.003, 0.002958520450015427, 8.567271352954506, 10.140000300204047]:
  Angle -10: cl=-0.5508244037628174, cd=0.22381249070167542, cm=-0.18643884360790253
  Angle -9: cl=-0.5819635987281799, cd=0.1921403855085373, cm=-0.1822069138288498
  Angle -8: cl=-0.6042566299438477, cd=0.15676084160804749, cm=-0.18008814752101898
  Angle -7: cl=-0.6361929774284363, cd=0.12549704313278198, cm=-0.17060010135173798
  Angle -6: cl=-0.6104899644851685, cd=0.11272769421339035, cm=-0.15713374316692352
  Angle -5: cl=-0.5061488151550293, cd=0.1026827022433281, cm=-0.14434902369976044
  Angle -4: cl=-0.4082699120044708, cd=0.0968017503619194, cm=-0.13071562349796295
  Angle -3: cl=-0.30673959851264954, cd=0.0900016501545906, cm=-0.11487801373004913
  Angle -2: cl=-0.2421075403690338, cd=0.08404197543859482, cm=-0.0878724604845047
  Angle -1: cl=-0.18239165842533112, cd=0.08029406517744064, cm=-0.0581141859292984
  Angle 0: cl=-0.11600089073181152, cd=0.08064134418964386, cm=-0.030846044421195984
  Angle 1: cl=-0.0469067245721817, cd=0.08215450495481491, cm=-0.008282706141471863
  Angle 2: cl=0.03632476553320885, cd=0.08767903596162796, cm=0.0029866546392440796
  Angle 3: cl=0.27194729447364807, cd=0.07591952383518219, cm=0.004519253969192505
  Angle 4: cl=0.3607083559036255, cd=0.0815483033657074, cm=0.01006270945072174
  Angle 5: cl=0.4558143615722656, cd=0.08796434849500656, cm=0.013648584485054016
  Angle 6: cl=0.5528566241264343, cd=0.094654381275177, cm=0.015586629509925842
  Angle 7: cl=0.646746814250946, cd=0.10011523216962814, cm=0.014668300747871399
  Angle 8: cl=0.7386294603347778, cd=0.10335399210453033, cm=0.007262244820594788
  Angle 9: cl=0.8318439722061157, cd=0.1073324978351593, cm=-0.001082688570022583
  Angle 10: cl=0.9290969371795654, cd=0.11206496506929398, cm=-0.010168954730033875
Genotype [0.008738276439590634, 0.4481849229871767, 0.12809369261767323, -0.8705678271461061, 0.26, -0.02270259015836636, 0.12131397503231771, -0.003, 0.0025, 8.567271352954506, 10.10764321898084]:
  Angle -10: cl=-0.5608072280883789, cd=0.22549349069595337, cm=-0.186689093708992
  Angle -9: cl=-0.5950343012809753, cd=0.19455477595329285, cm=-0.18198494613170624
  Angle -8: cl=-0.617261528968811, cd=0.15917113423347473, cm=-0.17986144125461578
  Angle -7: cl=-0.6499418616294861, cd=0.12644077837467194, cm=-0.17137186229228973
  Angle -6: cl=-0.6179099678993225, cd=0.11405456066131592, cm=-0.15754751861095428
  Angle -5: cl=-0.5051922798156738, cd=0.10249777883291245, cm=-0.14555291831493378
  Angle -4: cl=-0.40876585245132446, cd=0.09668897092342377, cm=-0.1319267898797989
  Angle -3: cl=-0.3047312796115875, cd=0.08998072892427444, cm=-0.11703653633594513
  Angle -2: cl=-0.2362445890903473, cd=0.08388812839984894, cm=-0.09082429111003876
  Angle -1: cl=-0.1775355339050293, cd=0.0802030935883522, cm=-0.06139756739139557
  Angle 0: cl=-0.1135142594575882, cd=0.08040964603424072, cm=-0.03295595943927765
  Angle 1: cl=-0.042573995888233185, cd=0.08091474324464798, cm=-0.00925542414188385
  Angle 2: cl=0.04035110026597977, cd=0.08612849563360214, cm=0.0020734965801239014
  Angle 3: cl=0.27588939666748047, cd=0.07417739182710648, cm=0.003868475556373596
  Angle 4: cl=0.36462637782096863, cd=0.07973351329565048, cm=0.009391188621520996
  Angle 5: cl=0.4599374532699585, cd=0.08642631024122238, cm=0.012930825352668762
  Angle 6: cl=0.554276168346405, cd=0.09331733733415604, cm=0.015076398849487305
  Angle 7: cl=0.6470884084701538, cd=0.09961124509572983, cm=0.016258522868156433
  Angle 8: cl=0.7386896014213562, cd=0.10277236998081207, cm=0.00895245373249054
  Angle 9: cl=0.8313949704170227, cd=0.10665284097194672, cm=0.0006952881813049316
  Angle 10: cl=0.9306471347808838, cd=0.11127475649118423, cm=-0.007631167769432068
Genotype [0.008738276439590634, 0.46, 0.13, -0.7121741726309612, 0.26, -0.02270259015836636, 0.15066166290110033, -0.003, 0.002958520450015427, 8.567271352954506, 10.097925411079236]:
  Angle -10: cl=-0.5537599921226501, cd=0.22324897348880768, cm=-0.18775437772274017
  Angle -9: cl=-0.5795520544052124, cd=0.18973369896411896, cm=-0.18491415679454803
  Angle -8: cl=-0.6019646525382996, cd=0.1545063704252243, cm=-0.1827826052904129
  Angle -7: cl=-0.6402130126953125, cd=0.12325312197208405, cm=-0.17301003634929657
  Angle -6: cl=-0.6081254482269287, cd=0.11127837002277374, cm=-0.15884725749492645
  Angle -5: cl=-0.5193244814872742, cd=0.10361161828041077, cm=-0.14449654519557953
  Angle -4: cl=-0.42071107029914856, cd=0.09814965724945068, cm=-0.13150723278522491
  Angle -3: cl=-0.3195713758468628, cd=0.09131583571434021, cm=-0.11543403565883636
  Angle -2: cl=-0.2562333643436432, cd=0.08556797355413437, cm=-0.08768130838871002
  Angle -1: cl=-0.19594109058380127, cd=0.08110633492469788, cm=-0.058224692940711975
  Angle 0: cl=-0.126506969332695, cd=0.08144054561853409, cm=-0.03189520537853241
  Angle 1: cl=-0.05183928459882736, cd=0.08200453966856003, cm=-0.009799912571907043
  Angle 2: cl=0.03246188163757324, cd=0.08727487921714783, cm=0.0015839040279388428
  Angle 3: cl=0.27337324619293213, cd=0.07470784336328506, cm=0.0025462806224823
  Angle 4: cl=0.3662888705730438, cd=0.0803065150976181, cm=0.007742568850517273
  Angle 5: cl=0.4655003249645233, cd=0.08685064315795898, cm=0.010815605521202087
  Angle 6: cl=0.5631110668182373, cd=0.09347590804100037, cm=0.012677013874053955
  Angle 7: cl=0.6550235152244568, cd=0.0999600738286972, cm=0.014666169881820679
  Angle 8: cl=0.7468000054359436, cd=0.10322941094636917, cm=0.007202401757240295
  Angle 9: cl=0.841629683971405, cd=0.10746075958013535, cm=-0.0012248754501342773
  Angle 10: cl=0.9375702142715454, cd=0.11476678401231766, cm=-0.009695842862129211
Genotype [0.008738276439590634, 0.4481849229871767, 0.13, -0.8257339004443838, 0.26, -0.023, 0.1393933827614826, -0.0037904160677536118, 0.0025, 7.427489871575919, 10.059333718579303]:
  Angle -10: cl=-0.558661162853241, cd=0.21768513321876526, cm=-0.18430714309215546
  Angle -9: cl=-0.5927249789237976, cd=0.18710923194885254, cm=-0.17965848743915558
  Angle -8: cl=-0.6198657751083374, cd=0.1530044972896576, cm=-0.17541851103305817
  Angle -7: cl=-0.6566921472549438, cd=0.12012690305709839, cm=-0.16866479814052582
  Angle -6: cl=-0.600197434425354, cd=0.11187957972288132, cm=-0.1557220071554184
  Angle -5: cl=-0.4859553575515747, cd=0.10063759237527847, cm=-0.14290843904018402
  Angle -4: cl=-0.38575655221939087, cd=0.0939946249127388, cm=-0.12777142226696014
  Angle -3: cl=-0.2933259606361389, cd=0.08703871816396713, cm=-0.10859532654285431
  Angle -2: cl=-0.23199918866157532, cd=0.08198358863592148, cm=-0.08070851862430573
  Angle -1: cl=-0.17306098341941833, cd=0.07971496134996414, cm=-0.050267502665519714
  Angle 0: cl=-0.10769249498844147, cd=0.0806104987859726, cm=-0.02425365149974823
  Angle 1: cl=-0.04402637481689453, cd=0.08578570187091827, cm=-0.004553511738777161
  Angle 2: cl=0.04224719852209091, cd=0.0901884064078331, cm=0.005774840712547302
  Angle 3: cl=0.25910577178001404, cd=0.0807202085852623, cm=0.007255136966705322
  Angle 4: cl=0.34752267599105835, cd=0.08646780997514725, cm=0.012503266334533691
  Angle 5: cl=0.44376200437545776, cd=0.0927012488245964, cm=0.015880003571510315
  Angle 6: cl=0.5427218675613403, cd=0.09766091406345367, cm=0.017583712935447693
  Angle 7: cl=0.6390255093574524, cd=0.1011534035205841, cm=0.011559858918190002
  Angle 8: cl=0.7310285568237305, cd=0.10441852360963821, cm=0.004408061504364014
  Angle 9: cl=0.8232077956199646, cd=0.10818973928689957, cm=-0.003983601927757263
  Angle 10: cl=0.9212509393692017, cd=0.1130162701010704, cm=-0.013262137770652771
Genotype [0.008738276439590634, 0.4504196973099081, 0.13, -0.7567818147224239, 0.26, -0.02270259015836636, 0.15066166290110033, -0.003, 0.003231668179478074, 8.531321462232201, 10.046960810708496]:
  Angle -10: cl=-0.5482732653617859, cd=0.2226056456565857, cm=-0.18640126287937164
  Angle -9: cl=-0.5783126354217529, cd=0.19051943719387054, cm=-0.18247129023075104
  Angle -8: cl=-0.6011399626731873, cd=0.1552576720714569, cm=-0.1800185889005661
  Angle -7: cl=-0.6337344646453857, cd=0.12503628432750702, cm=-0.17018775641918182
  Angle -6: cl=-0.608996570110321, cd=0.11192435771226883, cm=-0.1569402664899826
  Angle -5: cl=-0.5103682279586792, cd=0.10272601991891861, cm=-0.1435924917459488
  Angle -4: cl=-0.41177597641944885, cd=0.09680229425430298, cm=-0.12988974153995514
  Angle -3: cl=-0.313023179769516, cd=0.08990572392940521, cm=-0.11301063001155853
  Angle -2: cl=-0.24885442852973938, cd=0.08399276435375214, cm=-0.08585263788700104
  Angle -1: cl=-0.1886691153049469, cd=0.0801536962389946, cm=-0.05596606433391571
  Angle 0: cl=-0.12179899215698242, cd=0.08059736341238022, cm=-0.029294446110725403
  Angle 1: cl=-0.0540928989648819, cd=0.08314984291791916, cm=-0.00796489417552948
  Angle 2: cl=0.029598265886306763, cd=0.08859985321760178, cm=0.0034509599208831787
  Angle 3: cl=0.2647952139377594, cd=0.07690082490444183, cm=0.0048156678676605225
  Angle 4: cl=0.3540576994419098, cd=0.08253537863492966, cm=0.010357484221458435
  Angle 5: cl=0.4491192400455475, cd=0.08861660212278366, cm=0.013885557651519775
